code,semester,title,credits,recordTime,sectionId,quota,enrol,wait
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 13:30:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 13:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 20:30:00,L1,50,46,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 20:30:00,T1,25,21,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 20:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 20:00:00,L1,50,46,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 20:00:00,T1,25,21,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 20:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 19:30:00,L1,50,46,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 19:30:00,T1,25,21,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 19:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 15:30:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 15:30:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 15:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 16:00:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 16:00:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 16:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 17:00:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 17:00:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 17:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 19:00:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 19:00:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 19:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 18:00:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 18:00:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 18:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 18:30:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 18:30:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 18:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 21:30:00,L1,50,46,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 21:30:00,T1,25,21,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 21:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 22:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 22:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 22:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 21:00:00,L1,50,46,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 21:00:00,T1,25,21,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 21:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 17:30:00,L1,50,47,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 17:30:00,T1,25,22,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 17:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 22:00:00,L1,50,46,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 22:00:00,T1,25,21,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 22:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 22:00:00,L1,50,50,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 22:00:00,T1,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 22:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 23:00:00,L1,50,50,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 23:00:00,T1,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 23:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 22:30:00,L1,50,50,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-12 22:30:00,T1,25,25,5
